,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0
0.17453292519943295,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
0.19198621771937624,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
0.20943951023931956,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
0.22689280275926285,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
0.24434609527920614,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
0.2617993877991494,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
0.2792526803190927,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
0.29670597283903605,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
0.3141592653589793,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
0.33161255787892263,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
0.3490658503988659,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
0.3665191429188092,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
0.3839724354387525,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
0.4014257279586958,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
0.4188790204786391,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
0.4363323129985824,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
0.4537856055185257,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
0.47123889803846897,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
0.4886921905584123,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
0.5061454830783556,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
